  HR|  constell|RAh|RAm| RAs|DE-|DEd|DEm|DEs| Vmag|  Sp|       vernacular|
   3| 33    Psc| 00| 05|20.1|  -| 05| 42| 27| 4.61|  K0|                 |
  15| 21Alp And| 00| 08|23.3|  +| 29| 05| 26| 2.06|  B8|                 |
  21| 11Bet Cas| 00| 09|10.7|  +| 59| 08| 59| 2.27|  F2|                 |
  25|   Eps Phe| 00| 09|24.7|  -| 45| 44| 51| 3.88|  K0|                 |
  33|  6    Cet| 00| 11|15.9|  -| 15| 28| 05| 4.89|  F7|                 |
  39| 88Gam Peg| 00| 13|14.2|  +| 15| 11| 01| 2.83|  B2|                 |
  45| 89Chi Peg| 00| 14|36.2|  +| 20| 12| 24| 4.80|  M2|                 |
  48|  7    Cet| 00| 14|38.4|  -| 18| 55| 58| 4.44|  M3|                 |
  63| 24The And| 00| 17|05.5|  +| 38| 40| 54| 4.61|  A2|                 |
  68| 25Sig And| 00| 18|19.7|  +| 36| 47| 07| 4.52|  A2|                 |
  74|  8Iot Cet| 00| 19|25.7|  -| 08| 49| 26| 3.56|  K1|                 |
  77|   Zet Tuc| 00| 20|04.3|  -| 64| 52| 29| 4.23|  F9|                 |
  98|   Bet Hyi| 00| 25|45.1|  -| 77| 15| 15| 2.80|  G2|                 |
  99|   Alp Phe| 00| 26|17.0|  -| 42| 18| 22| 2.39|  K0|                 |
 100|   Kap Phe| 00| 26|12.2|  -| 43| 40| 48| 3.94|  A7|                 |
 105|   Eta Scl| 00| 27|55.7|  -| 33| 00| 26| 4.81|  M4|                 |
 123| 14Lam Cas| 00| 31|46.4|  +| 54| 31| 20| 4.73|  B8|                 |
 125|   Lam1Phe| 00| 31|25.0|  -| 48| 48| 13| 4.77|  A0|                 |
 126|   Bet1Tuc| 00| 31|32.7|  -| 62| 57| 29| 4.37|  B9|                 |
 127|   Bet2Tuc| 00| 31|33.6|  -| 62| 57| 57| 4.54|  A2|                 |
 130| 15Kap Cas| 00| 33|00.0|  +| 62| 55| 54| 4.16|  B1|                 |
 153| 17Zet Cas| 00| 36|58.3|  +| 53| 53| 49| 3.66|  B2|                 |
 154| 29Pi  And| 00| 36|52.9|  +| 33| 43| 10| 4.36|  B5|                 |
 163| 30Eps And| 00| 38|33.3|  +| 29| 18| 42| 4.37|  G6|                 |
 165| 31Del And| 00| 39|19.7|  +| 30| 51| 39| 3.27|  K3|                 |
 168| 18Alp Cas| 00| 40|30.5|  +| 56| 32| 14| 2.23|  K0|                 |
 179| 19Xi  Cas| 00| 42|03.9|  +| 50| 30| 45| 4.80|  B2|                 |
 180|   Mu  Phe| 00| 41|19.6|  -| 46| 05| 06| 4.59|  G8|                 |
 184| 20Pi  Cas| 00| 43|28.1|  +| 47| 01| 29| 4.94|  A5|                 |
 188| 16Bet Cet| 00| 43|35.4|  -| 17| 59| 12| 2.04|  G9|                 |
